label	avg	MATH	GPQA	IFEval	LCB	GSM8K	on_hub	url	ckpt	local_size	log
4B 2:4 d=0.01 lr=1e-4 +comp	44.16	67.20	33.84	39.74	7.46	72.55	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr1e-4_20260910_060813	gmp_s50pct_lr0.0001_onpol_lmda0.33_20260910_044350	8.1 GB	nm_compensate/4b_24_klb0.01_comp_v2.log
4B S70 d=0.02 lr=1e-4 B1frozen(ro=4096)	43.97	72.80	28.79	37.89	4.48	75.89	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260903_081638	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260903_065326	8.1 GB	ablation_B1_frozen_pool_4b/s70_ro4096.log
4B S70 d=0.02 lr=1e-4	43.89	71.80	30.30	36.23	4.85	76.27	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260905_165318	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260905_152937	8.1 GB	ablation_warmup_sweep_4b_s70/s70_warm1024.log
4B 2:4 lr=1e-4	43.81	64.00	30.30	41.96	10.07	72.71	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr1e-4_20260824_211520	gmp_s50pct_lr0.0001_onpol_lmda0.33_20260824_194912	8.1 GB	gmp_pgd_klgate_4b_24_lr1e-4_pgdint8_mi32_nolasso.launch.log
4B S70 rule=schedule	42.75	70.60	29.29	34.20	7.09	72.55	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260903_144159	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260903_131447	8.1 GB	ablation_A2_schedule_4b/s70_A2sched_matched.log
4B S70 d=999 lr=1e-4	42.70	70.20	28.28	38.08	5.60	71.34	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260827_060349	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260827_043702		queue_gmp_pgd_klgate_4b/s70_u_posttargetonly.log
4B 2:4 lr=1e-4	42.47	64.60	28.79	37.89	8.58	72.48	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr1e-4_20260824_125640	gmp_s50pct_lr0.0001_onpol_lmda0.33_20260824_112821	8.1 GB	gmp_pgd_klgate_4b_24_lr1e-4_bs1_mi32_opd512_nolasso.launch.log
4B S70 lr=1e-4	42.31	68.00	31.31	38.08	4.85	69.29	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260824_210546	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260824_193758	8.1 GB	gmp_pgd_klgate_4b_s70_lr1e-4_pgdint8_mi32.launch.log
4B S70 d=999 lr=1e-4	41.93	71.00	28.79	32.90	5.22	71.72	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260826_232251	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260826_215407		queue_gmp_pgd_klgate_4b/s70_u_duringgrowth.log
4B S70 d=99999 lr=1e-4	41.87	64.40	28.28	40.85	4.85	70.96	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260903_072918	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260903_060450	8.1 GB	ablation_A3_nogate_4b/s70_nogate.log
4B S70 d=0.02 lr=1e-4	41.84	68.00	28.79	33.09	9.70	69.60	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260904_211103	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260904_193834	8.1 GB	ablation_warm0_4b_s70/s70_warm0.log
4B S70 d=0.01 lr=1e-4	41.20	68.40	28.28	33.83	5.60	69.90	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260903_072500	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260903_055641	8.1 GB	queue_gmp_pgd_grow_to_target_4b/s70_klb0.01.log
4B S70 d=99999 lr=1e-4 B1frozen(ro=4096)	40.94	62.20	27.78	37.52	4.85	72.33	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260904_204431	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260904_191450	8.1 GB	ablation_A3B1_nogate_frozen_4b/s70_nogate_frozen.log
4B S70 d=0.02 lr=1e-4	40.79	68.00	30.30	30.13	4.48	71.04	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260824_093222	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260824_075727	8.1 GB	gmp_pgd_klgate_4b_s70_lr1e-4_mi32_opd512.launch.log
4B S70 rule=schedule	40.45	68.40	28.28	31.42	5.97	68.16	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260903_144006	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260903_131246	8.1 GB	ablation_A2_schedule_4b/s70_A2sched_er0.5.log
4B S70 d=0.02 lr=1e-4	38.05	59.00	27.78	29.76	4.48	69.22	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260828_073925	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260828_073925		queue_gmp_pgd_klgate_4b_reversekl/s70_capped_reversekl.log
4B 2:4 d=999 lr=1e-4	36.65	55.20	27.78	31.42	4.10	64.75	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr1e-4_20260827_060353	gmp_s50pct_lr0.0001_onpol_lmda0.33_20260827_042748		queue_gmp_pgd_klgate_4b/s50_24_posttargetonly.log
4B S70 d=0.02 lr=1e-4 jump	36.55	59.40	29.29	30.50	2.24	61.33	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260909_213205	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260909_200053	8.1 GB	ablation4b_jump/s70_A3jump_4b_resume.log
4B S70 d=999 lr=1e-4	35.84	58.80	24.75	26.06	1.87	67.70	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260828_090919	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260828_073529	8.1 GB	queue_gmp_pgd_klgate_4b_reversekl/s70_uncapped_reversekl.log
4B S70 d=0.02 lr=1e-4 jump B1frozen(ro=4096)	33.14	46.60	32.32	26.80	0.75	59.21	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260909_221717	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260909_204247	8.1 GB	ablation4b_jump/s70_A3B1jump_4b_resume.log
