label	arm	state	model	avg5	MATH	GPQA	IFEval	LCB	GSM8K	n_bench	step	total	comp_events	comp_maxdelta	ckpt	log
8B 2:4 d=0.02 lr=1e-4	klb0.02	DONE	8B	51.31	74.20	38.38	54.90	13.43	75.66	5	2048	2048	0		gmp_s50pct_lr0.0001_onpol_lmda0.33_20260902_231340	queue_gmp_pgd_grow_to_target_8b_24/klb0.02.log
8B 2:4 d=999 lr=1e-4	s50_24_duringgrowth	DONE	8B	51.20	71.80	38.38	55.45	14.18	76.19	5	2048	2048	0		gmp_s50pct_lr0.0001_onpol_lmda0.33_20260828_034431	queue_gmp_pgd_klgate_8b/s50_24_duringgrowth.log
8B 2:4 lr=1e-4	gmp_pgd_klgate_8b_24_lr1e-4_fsdp2gpu_v2.launch	DONE	8B	50.47	73.80	32.83	53.97	16.79	74.98	5	2048	2048	0		gmp_s50pct_lr0.0001_onpol_lmda0.33_20260825_140422	gmp_pgd_klgate_8b_24_lr1e-4_fsdp2gpu_v2.launch.log
8B 2:4 d=0.01 lr=1e-4	klb0.01	DONE	8B	50.15	72.60	35.35	53.79	13.43	75.59	5	2048	2048	0		gmp_s50pct_lr0.0001_onpol_lmda0.33_20260902_222528	queue_gmp_pgd_grow_to_target_8b_24/klb0.01_v13.log
8B S70 d=0.02 lr=1e-4	s70_delta0.02	DONE	8B	50.12	77.40	38.38	46.58	8.58	79.68	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260907_061803	delta_resweep_opkdfix/s70_delta0.02.log
4B S60 d=99999 lr=5e-5	s60_nogate	DONE	4B	50.03	75.60	29.80	51.57	13.43	79.76	5	2048	2048	0		gmp_s60pct_lr5e-05_onpol_lmda0.33_20260903_060508	ablation_A3_nogate_4b/s60_nogate.log
8B S70 d=0.01 lr=1e-4	s70_delta0.01	DONE	8B	49.84	75.20	35.35	47.87	12.69	78.09	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260908_021645	resweep2_opkdfix/s70_delta0.01.log
8B S70 d=0.03 lr=1e-4	s70_delta0.03	DONE	8B	49.74	78.60	33.84	46.03	12.31	77.94	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260905_210644	delta_sweep_8b_s70/s70_delta0.03.log
8B S70 d=0.05 lr=1e-4	s70_delta0.05	DONE	8B	49.11	77.40	35.86	45.47	7.84	79.00	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260907_072207	delta_resweep_opkdfix/s70_delta0.05.log
8B ?	eval	DONE	8B	48.95	76.20	36.87	43.99	10.45	77.26	5			0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260906_105649	opkdfix_8b_s70_delta0.03/eval_resume.log
8B S70 d=0.02 lr=1e-4 B1frozen(ro=4096)	s70_B1frozen_retry	DONE	8B	48.92	76.00	39.39	42.51	10.07	76.65	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260909_185223	resweep2_opkdfix/s70_B1frozen_retry_resume.log
8B S70 lr=1e-4	gmp_pgd_klgate_8b_s70_lr1e-4_fsdp2gpu_v2.launch	DONE	8B	48.06	73.60	34.85	45.47	11.19	75.21	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260825_140241	gmp_pgd_klgate_8b_s70_lr1e-4_fsdp2gpu_v2.launch.log
8B S70 d=0.05 lr=1e-4	s70_delta0.05	DONE	8B	47.49	77.00	32.32	43.07	6.34	78.70	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260905_215808	delta_sweep_8b_s70/s70_delta0.05.log
4B 2:4 d=0.01 lr=1e-4	klb0.01	DONE	4B	47.23	69.40	36.87	43.62	10.07	76.19	5	2048	2048	0		gmp_s50pct_lr0.0001_onpol_lmda0.33_20260901_224723	queue_gmp_pgd_grow_to_target_4b_24/klb0.01.log
8B S70 d=0.02 lr=1e-4	s70	DONE	8B	47.21	74.40	36.87	40.48	5.97	78.32	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260901_212817	queue_gmp_pgd_grow_to_target_8b/s70.log
8B S70 d=0.02 lr=1e-4 B1frozen(ro=4096)	s70_B1_frozen	DONE	8B	46.80	76.00	31.31	39.74	9.33	77.63	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260905_065525	ablation_8b_s70_components/s70_B1_frozen.log
8B S70 d=0.01 lr=1e-4	s70_klb0.01	DONE	8B	46.74	73.60	31.31	42.33	10.82	75.66	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260902_221712	queue_gmp_pgd_grow_to_target_8b/s70_klb0.01.log
8B S70	alpssft512_s70	DONE	8B	46.67	73.60	29.29	42.14	14.55	73.77	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260908_115509	alpssft512_8b/alpssft512_s70.log
8B S70 d=999 lr=1e-4	s70_u_duringgrowth	DONE	8B	46.49	72.20	34.85	40.85	7.09	77.48	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260827_230324	queue_gmp_pgd_klgate_8b/s70_u_duringgrowth.log
8B S70 ro=1	run	DONE	8B	46.40	73.60	29.29	43.81	13.06	72.25	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260820_225125	alpssft_8b_b200_s70pct_lr1e-4/run.log
4B S70 d=0.02 lr=1e-4	s70_klb0.02	DONE	4B	45.58	72.40	35.86	39.93	8.21	71.49	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260901_064301	queue_gmp_pgd_grow_to_target_4b/s70_klb0.02.log
4B S70 d=0.02 lr=1e-4	s70_warm512	DONE	4B	45.27	72.40	31.82	41.96	5.97	74.22	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260905_152806	ablation_warmup_sweep_4b_s70/s70_warm512.log
8B S70 d=99999 lr=1e-4	s70_A3_nogate	DONE	8B	45.25	70.00	28.79	45.84	7.84	73.77	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260905_070445	ablation_8b_s70_components/s70_A3_nogate.log
4B 2:4 d=0.02 lr=1e-4	klb0.02	DONE	4B	45.17	71.20	30.30	41.04	10.82	72.48	5	2048	2048	0		gmp_s50pct_lr0.0001_onpol_lmda0.33_20260901_224413	queue_gmp_pgd_grow_to_target_4b_24/klb0.02.log
4B 2:4 d=999 lr=1e-4	s50_24_duringgrowth	DONE	4B	44.51	68.80	28.79	43.81	7.46	73.69	5	2048	2048	0		gmp_s50pct_lr0.0001_onpol_lmda0.33_20260826_214103	queue_gmp_pgd_klgate_4b/s50_24_duringgrowth.log
4B 2:4 d=0.02 lr=1e-4 +comp	4b_24_klb0.02_comp	DONE	4B	44.37	65.60	30.81	40.67	9.70	75.06	5	2048	2048	255	16.38	gmp_s50pct_lr0.0001_onpol_lmda0.33_20260910_044130	nm_compensate/4b_24_klb0.02_comp_v2.log
